TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score
TeD6,1,1,1,0,0,1,1,1,M3,0.693430026563399
TeD6,1,0,1,0,0,0,0,0,M3,0.537965507806639
TeD6,1,0,1,1,1,0,0,0,M3,0.648365793049625
TeD6,0,1,0,0,0,0,1,0,M3,0.511354813857975
TeD6,1,1,1,0,0,1,0,0,M3,0.669662765137558
TeD6,0,1,1,1,1,1,1,1,M3,0.688380294357361
TeD6,0,1,1,0,1,1,0,1,M3,0.67635476869455
TeD6,0,0,1,0,0,1,0,0,M3,0.634201638634823
TeD6,0,1,1,1,0,1,0,0,M3,0.583985642951561
TeD6,0,1,0,0,0,0,1,1,M3,0.63134860537074
TeD6,1,0,0,1,0,0,0,0,M3,0.465813790924396
TeD6,1,1,1,0,0,0,0,0,M3,0.542047794398216
TeD6,0,1,1,0,1,1,1,0,M3,0.649721744285098
TeD6,0,1,0,0,1,0,0,0,M3,0.534819404439177
TeD6,1,1,1,1,1,1,0,1,M3,0.664956089441544
TeD6,0,1,1,0,1,0,0,1,M3,0.669330611992991
TeD6,0,1,1,0,0,1,0,0,M3,0.651221060547373
TeD6,1,0,1,1,1,1,0,0,M3,0.628305031399842
TeD6,0,1,0,0,1,1,0,0,M3,0.646207160206799
TeD6,0,1,0,0,0,1,1,0,M3,0.609374211247988
TeD6,1,0,1,1,0,0,1,1,M3,0.660411630646389
